,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
45,Guatemala, , , , , , , , , , ,40, , , , ,37, , , , ,37, , , , ,36, , , , ,31, , , , ,30, , , , , , , , , , 
46,Guinea, , , , , , , , , , , , , ,62, , , , ,64, , , , ,63, , , , ,52, , , , ,50, , , , ,47, , , , , , , 
47,Guinea-Bissau, , , , , , , , , , , , , , ,31, , , , ,31, , , , ,29, , , , ,31, , , , ,28, , , , ,26, , , , , , 
48,Guyana, , , , , , , , , , , , , , , ,25, , , , ,27, , , , ,26, , , , ,30, , , , ,30, , , , ,32, , , , , 
49,Haiti, , , , , , , , , , , , ,25, , , , ,24, , , , ,23, , , , ,19, , , , ,16, , , , ,15, , , , , , , , 
50,Honduras, , , , , , , , , , , , , , ,36, , , , ,38, , , , ,38, , , , ,35, , , , ,33, , , , ,34, , , , , , 
51,India, , , , , , , , , , , , , , , , ,53, , , , ,49, , , , ,46, , , , ,38, , , , ,30, , , , ,23, , , , 
52,Indonesia, , , , , , , , , , , , ,33, , , , ,29, , , , ,25, , , , ,22, , , , ,17, , , , ,16, , , , , , , , 
53,Iran (Islamic Republic of), , , , , ,40, , , , ,39, , , , ,30, , , , ,23, , , , ,18, , , , ,17, , , , , , , , , , , , , , , 
54,Iraq, , , , , , , , , , , , , ,24, , , , ,23, , , , ,19, , , , ,21, , , , ,27, , , , ,28, , , , , , , 
55,Jamaica, , , , , , , , , , , , , , , , , ,20, , , , ,21, , , , ,23, , , , ,25, , , , ,27, , , , ,27, , , 
56,Jordan, , , , , , , , , , , , , , , , , , ,16, , , , ,13, , , , ,12, , , , ,14, , , , ,11, , , , ,10, , 
57,Kazakhstan, , , , , , , , , , ,7, , , , ,12, , , , ,13, , , , ,8, , , , ,6, , , , ,7, , , , , , , , , , 
58,Kenya, , , , , , , , , , , , , , , , , ,28, , , , ,27, , , , ,30, , , , ,26, , , , ,20, , , , ,13, , , 
59,Kiribati, , , , , , , , , , , , , , ,26, , , , ,23, , , , ,21, , , , ,19, , , , ,22, , , , ,18, , , , , , 
60,Kosovo (UNSCR 1244), , , , , , , , , , , , , , , ,13, , , , ,11, , , , ,9, , , , ,7, , , , ,6, , , , ,4, , , , , 
61,Kyrgyzstan, , , , , , , , , , , , , , , , , , ,21, , , , ,14, , , , ,9, , , , ,10, , , , ,13, , , , ,9, , 
62,Lao People's Democratic Republic, , , , , , , , , , , , , , , , , , ,33, , , , ,36, , , , ,33, , , , ,30, , , , ,31, , , , ,31, , 
63,Lebanon, , , , , , , , , , , ,15, , , , ,20, , , , ,12, , , , ,15, , , , ,6, , , , ,6, , , , , , , , , 
64,Lesotho, , , , , , , , , , , , , , , , , , , ,24, , , , ,21, , , , ,18, , , , ,16, , , , ,15, , , , ,13, 
65,Liberia, , , , , , , , , , , , , , , ,49, , , , ,44, , , , ,39, , , , ,33, , , , ,29, , , , ,25, , , , , 
66,Madagascar, , , , , , , , , , , , , , , , ,35, , , , ,36, , , , ,43, , , , ,40, , , , ,39, , , , ,39, , , , 
67,Malawi, , , , , , , , , , , , , , , ,49, , , , ,49, , , , ,49, , , , ,48, , , , ,44, , , , ,38, , , , , 
68,Maldives, , , , , , , , , , , , ,51, , , , ,38, , , , ,22, , , , ,8, , , , ,3, , , , ,2, , , , , , , , 
69,Mali, , , , , , , , , , , , , ,57, , , , ,57, , , , ,57, , , , ,56, , , , ,55, , , , ,54, , , , , , , 
70,Marshall Islands, , ,29, , , , ,32, , , , ,31, , , , ,27, , , , ,20, , , , ,26, , , , , , , , , , , , , , , , , , 
71,Mauritania, , , , , , , , , , , , , , , , ,40, , , , ,37, , , , ,36, , , , ,37, , , , ,38, , , , ,37, , , , 
72,Mexico, , , , , , , , , , , , , , , , , , ,22, , , , ,22, , , , ,24, , , , ,23, , , , ,21, , , , ,18, , 
73,Mongolia, , , , , , , , , , , , , , , , , , ,7, , , , ,8, , , , ,6, , , , ,6, , , , ,8, , , , ,8, , 
74,Montenegro, , , , , , , , , , , , , ,9, , , , ,9, , , , ,6, , , , ,5, , , , ,6, , , , ,6, , , , , , , 
75,Morocco, , , , , , , , , , , , , ,20, , , , ,19, , , , ,17, , , , ,15, , , , ,13, , , , ,14, , , , , , , 
76,Mozambique, , , , , , , , , , , , , , , , , , ,48, , , , ,48, , , , ,50, , , , ,50, , , , ,50, , , , ,48, , 
77,Myanmar, , , , , , , , , , , ,19, , , , ,21, , , , ,19, , , , ,19, , , , ,18, , , , ,16, , , , , , , , , 
78,Namibia, , , , , , , , ,11, , , , ,9, , , , ,9, , , , ,8, , , , ,8, , , , ,7, , , , , , , , , , , , 
79,Nauru, , , , , , , , , , , , , , , , , , ,11, , , , ,14, , , , ,13, , , , ,15, , , , ,16, , , , ,18, , 
80,Nepal, , , , , , , , , , , , , , , , , ,55, , , , ,55, , , , ,50, , , , ,42, , , , ,38, , , , ,35, , , 
81,Nicaragua, , , , , , , ,50, , , , ,48, , , , ,48, , , , ,44, , , , ,42, , , , ,35, , , , , , , , , , , , , 
82,Niger, , , , , , , ,85, , , , ,80, , , , ,77, , , , ,78, , , , ,76, , , , ,76, , , , , , , , , , , , , 
83,Nigeria, , , , , , , , , , , , , , , , ,45, , , , ,43, , , , ,39, , , , ,42, , , , ,44, , , , ,30, , , , 
84,North Macedonia, , , , , , , , , , , , , , ,14, , , , ,12, , , , ,9, , , , ,8, , , , ,6, , , , ,8, , , , , , 
85,Oman, , , , , , , , , ,51, , , , ,38, , , , ,27, , , , ,15, , , , ,10, , , , ,4, , , , , , , , , , , 
86,Pakistan, , , , , , , , , , , , , ,41, , , , ,39, , , , ,31, , , , ,25, , , , ,23, , , , ,18, , , , , , , 
87,Panama, , , , , , , , ,20, , , , ,26, , , , ,30, , , , ,27, , , , ,24, , , , ,26, , , , , , , , , , , , 
88,Papua New Guinea, , , , , , , , , , , , , ,27, , , , ,27, , , , ,31, , , , ,29, , , , ,29, , , , ,27, , , , , , , 
89,Paraguay, , , , , , , , , , , ,21, , , , ,22, , , , ,20, , , , ,20, , , , ,22, , , , ,22, , , , , , , , , 
90,Peru, , , , , , , , , , , , , , , , , , ,20, , , , ,21, , , , ,20, , , , ,20, , , , ,18, , , , ,19, , 
91,Philippines, , , , , , , , , , , , , , , , , ,15, , , , ,13, , , , ,15, , , , ,16, , , , ,17, , , , ,9, , , 
92,Qatar, , , , , , , , , , , , , , , , , , ,7, , , , ,5, , , , ,3, , , , ,3, , , , ,4, , , , ,2, , 
93,Republic of Moldova, , , , , , , ,11, , , , ,14, , , , ,20, , , , ,19, , , , ,15, , , , ,12, , , , , , , , , , , , , 
94,Russian Federation, , , , , , , , , , , , , , , , , ,10, , , , ,7, , , , ,7, , , , ,5, , , , ,6, , , , , , , , 
95,Rwanda, , , , , , , , , , , , , , , ,17, , , , ,18, , , , ,12, , , , ,7, , , , ,6, , , , ,6, , , , , 
96,Saint Lucia, , , , , , , ,13, , , , ,14, , , , ,11, , , , ,16, , , , ,23, , , , ,24, , , , , , , , , , , , , 
